年,地區,活動個數總計,出席人次總計,視覺藝術,工藝,設計,音樂,戲劇,舞蹈,說唱,影片,民俗,語文與圖書,綜合,其他
2017,臺閩地區,58195,263037,6226,2428,1734,8932,4121,1223,159,7685,5629,16878,2985,195
2017,臺灣地區,57528,262263,6125,2407,1451,8834,4080,1205,151,7659,5494,16774,2947,131
2017,北部區域,24804,122028,2463,873,598,3437,2197,593,106,4098,2693,6991,582,92
2017,臺北市,7042,49606,838,212,311,1492,1036,185,50,942,571,1192,128,85
2017,新北市,7368,32329,503,288,118,382,158,96,5,1281,613,3822,95,7
2017,基隆市,654,1666,90,28,10,97,123,18,2,26,93,128,30,0
2017,新竹市,1930,3853,254,92,36,265,88,75,6,636,183,259,17,0
2017,桃園市,4819,25008,509,118,41,644,331,130,9,930,684,1182,205,0
2017,新竹縣,881,3606,154,73,34,126,65,13,5,43,153,196,28,0
2017,宜蘭縣,2110,5960,115,62,48,431,396,76,29,240,396,212,79,0
2017,中部區域,12666,63307,1640,499,447,1808,865,248,22,1316,710,3914,1180,0
2017,臺中市,6703,27792,746,146,349,668,268,92,4,851,128,2962,453,0
2017,苗栗縣,940,3208,139,54,2,206,62,30,7,30,131,131,129,0
2017,彰化縣,2425,9405,389,70,57,541,341,79,5,202,180,359,242,0
2017,南投縣,1680,8036,272,188,35,269,48,33,2,137,208,303,184,0
2017,雲林縣,918,14866,94,41,4,124,146,14,4,96,63,159,172,0
2017,南部區域,17224,68055,1757,914,365,3249,909,330,21,2104,1413,5091,881,9
2017,高雄市,7049,38482,619,249,134,1410,310,93,2,697,366,2633,412,0
2017,臺南市,7377,21781,813,587,179,1394,323,156,12,906,725,1871,337,2
2017,嘉義市,583,1264,90,26,9,100,48,13,2,216,6,58,13,3
2017,嘉義縣,664,3288,85,16,17,80,60,24,2,183,80,97,27,4
2017,屏東縣,1229,2859,101,29,3,201,154,38,2,90,190,372,39,0
2017,澎湖縣,322,381,49,7,23,64,14,6,1,12,46,60,53,0
2017,東部區域,2834,8873,265,121,41,340,109,34,2,141,678,778,304,30
2017,花蓮縣,1053,4628,136,43,11,54,57,10,1,34,186,431,62,30
2017,臺東縣,1781,4245,129,78,30,286,52,24,1,107,492,347,242,0
2017,福建省,667,774,101,21,8,98,41,18,8,26,135,104,38,64
2017,金門縣,535,725,91,11,8,82,32,18,7,17,101,76,31,63
2017,連江縣,132,49,10,10,0,16,9,0,1,9,34,28,7,1
