年度,類別,名次,劇本名稱,得獎者
099,長篇組,第1名,水鄉:台灣水利先驅八田與一,陳朝松、龍青
099,長篇組,第2名,流民本色,施百俊
099,長篇組,第3名,凱薩琳的香水,詹鈞文
099,長篇組,佳作,純情戀夢,李幸宜
099,長篇組,佳作,聽你聽我,吳瑾蓉、連凱鴻
099,短篇組,第1名,兵之暮,趙哲寬
099,短篇組,第2名,幸福搶劫不要動,陳建彰
099,短篇組,第3名,淡水五弄,洪維健
099,短篇組,佳作,沒有名字的甜點店,林涵
099,短篇組,佳作,大稻埕,林智杰、梁郁君
099,短篇組,佳作,戒,張英珉
099,短篇組,佳作,迷迭香,王永昇
099,短篇組,佳作,瞌長鳥耕作,李定偉
100,長篇組,第1名,從缺,從缺
100,長篇組,第2名,阿宅律師,張世嫺
100,長篇組,第3名,花若離枝,楊靚姝
100,長篇組,第3名,大稻埕少年,李幸宜
100,長篇組,佳作,赤子,趙哲寬
100,長篇組,佳作,蝴蝶不見了,蔡一峰
100,長篇組,佳作,流氓明星夢,李婕瑀、許佩琪
100,長篇組,佳作,小心幸福就在你身邊,連凱鴻、吳瑾蓉
100,短篇組,第1名,阿嬤的回憶錄,張英珉
100,短篇組,第2名,魔幻仲夏夜,楊靚姝
100,短篇組,第3名,變身媽媽,黃衍方
100,短篇組,佳作,時光之河,廖元瑄、林春江、王雅芳
100,短篇組,佳作,有球必應,曾文珍、林其樂、陳譽仁
101,長篇組,第一名,鬼氣少女，完勝!,謝禮如、許芸齊
101,長篇組,第二名,浪花,施百俊、施翔偉、洪國書、林聖偉
101,長篇組,第三名,五樓加蓋,張英珉
101,長篇組,佳作,浮生天堂,洪立妍
101,長篇組,佳作,動心食客,陳譽仁、王家齊
101,長篇組,佳作,只剩一抹光的城市,張孝誠
101,短篇組,第一名,臥底外傭,黃衍方
101,短篇組,第二名,局。,王舒煒、宋東庭
101,短篇組,第三名,血花熱蘭遮,施百俊
101,短篇組,佳作,掰掰萬歲OAO,周禾原、張愷芹、陳郁麒
101,短篇組,佳作,烏紗崖戰魂,葉綠綠
101,短篇組,佳作,愛情，亂打秀,林其樂
102,長篇組,優等,我是顧家男,林萱
102,長篇組,優等,枯榮裡,陳緯恩
102,長篇組,潛力獎,莉莉絲的考驗,張世嫺
102,長篇組,潛力獎,名聲大噪,蔣友竹
102,長篇組,潛力獎,真情啟示錄,黃顯庭
102,長篇組,潛力獎,不倫戀，全身而退　,王舒煒、宋東庭
102,長篇組,潛力獎,在錯過最後的擁抱以前,張英珉
102,短篇組,優等,哈馬星!宇宙頑童,陳建彰
102,短篇組,優等,阿良的生日願望,張曉豪
102,短篇組,優等,不完美家庭,陳譽仁、王家齊
102,短篇組,潛力獎,前面的外勞不要跑,曾詩婷
102,短篇組,潛力獎,惡火追緝,黃建銘
102,短篇組,潛力獎,刑事女王,蔣友竹
102,短篇組,潛力獎,第五道,邱怡珍
102,短篇組,潛力獎,聰明一生,游玉如
103,不分組,優等獎,小鎮醫生,陳柏均(筆名:陳牧勻)
103,不分組,優等獎,孩子,游書珣
103,不分組,佳作,我的阿嬤是女神,許肇玲
103,不分組,佳作,森濱藥局,張英珉
103,不分組,佳作,獸醫五年生,林俐馨
103,不分組,佳作,征子,張曉豪
103,不分組,佳作,百千萬傑-一個台灣商人的故事,張碩修
103,不分組,佳作,越界,楊念純
103,不分組,佳作,生命寒冬終會過去,何采蓁
103,不分組,佳作,小童星,蔡易成
104,不分組,優等獎,葉健雄的秘密生活,李啓源
104,不分組,優等獎,派遣死神,黃橙、陳牧勻、吳可師
104,不分組,優等獎,夢想大亨的秘密,楊慈露
104,不分組,佳作,肉圓冬蔭功,陳凱筑
104,不分組,佳作,珈琲橄欖,何昕明、蔡孟芬、史冀儒、黃光筠
104,不分組,佳作,鯨魚十二號,黃秀凌
104,不分組,佳作,四月一日,許肇玲
104,不分組,佳作,夢夢,蔡孟軒
104,不分組,佳作,寂寞旅行團 lonely groups,安邦
105,不分組,優等獎,妮娜的理髮廳,高綿憶
105,不分組,優等獎,記憶解剖師,彭懷德
105,不分組,優等獎,最佳利益,林珮瑜、陳文梓
105,不分組,佳作,失蹤啟示,王嬿雯
105,不分組,佳作,未來商城,許肇玲
105,不分組,佳作,再一次心跳,王玉琪
105,不分組,佳作,巷口,楊靚姝、張芳瑛
105,不分組,佳作,逆鱗,施達樂
105,不分組,佳作,獵人把戲(Hunter's Games),林婉婷
106,不分組,優等,半尺之局,鄭惠文
106,不分組,優等,恥部,吳亦偉
106,不分組,佳作,Missing思蹤者,吳孟寰、黃千芸、吳宜謙
106,不分組,佳作,白色的房間,廖弘欣
106,不分組,佳作,死神的盲區,曾筠庭
106,不分組,佳作,美味關係,陳瓊樺
106,不分組,佳作,倒生殺,施百俊
106,不分組,佳作,神鬼醫生,黃國甦(筆名:黃橙)、陳柏均(筆名:陳牧勻)、黃吳珠妹(筆名:吳可師)
106,不分組,佳作,路西法的救贖,林晴宇、朱挈儂
106,不分組,佳作,臨異街11號,劉存菡
107,不分組,優等獎,狂飆年代,陳凱筑
107,不分組,佳作,化外之醫,張世嫺
107,不分組,佳作,失戀旅行團,吳瑾蓉
107,不分組,佳作,放鰻吧,吳思惠
107,不分組,佳作,累犯,鐘建仁
107,不分組,佳作,雪山隧道廣播,林俐馨
107,不分組,佳作,惡女鍾馗,陳柏宗
107,不分組,佳作,最惡：在落日之前,于尚民
107,不分組,佳作,選戰女王,林珮瑜
107,不分組,佳作,醫師島,鄧慧恩、徐元
108,不分組,優等獎,野土,洪子詠
108,不分組,佳作,那一晚我們一起玩碟仙,吳佳韋
108,不分組,佳作,活屍教養守則,彭懷德
108,不分組,佳作,雲端副作用,陳柏宗、陳芃文
108,不分組,佳作,聰明的人房間都很亂,吳瑾蓉、廖敏凱
109,不分組,優等獎,看看妳有多愛我,范芷綺
109,不分組,優等獎,縛愛之誠,余易勳/陳亞孜
109,不分組,佳作,人工家庭,王品喬
109,不分組,佳作,國定懇親日,楊宗翰/王盈今
109,不分組,佳作,暗光鳥,溫慧明/林英作
109,不分組,佳作,誤步歧途,林貴敏/潘重威
109,不分組,優等獎,大齡女鬼,陳匯穎
109,不分組,佳作,斗栱上的天平,劉禮碩/趙曉蓓
109,不分組,佳作,沒殺人的殺人犯,吳孟寰/李孟珊
109,不分組,佳作,非法母親,程雲佳
109,不分組,佳作,監所男子求生記,蔡孟芬/吳鳳雯/王慈華/葉子豪
