年度,活動類別,筆數,場次數
2015,音樂,17,17
2015,戲劇,21,21
2015,舞蹈,2,2
2015,親子,17,17
2015,獨立音樂,2,2
2015,展覽,645,651
2015,講座,40,40
2015,電影,34,34
2015,綜藝,22,22
2015,競賽,12,12
2015,徵選,15,15
2015,其他,13,13
2015,演唱會,2,2
2015,研習課程,41,41
2016,音樂,3468,3493
2016,戲劇,1559,1568
2016,舞蹈,530,533
2016,親子,544,580
2016,獨立音樂,667,689
2016,展覽,6087,6130
2016,講座,6498,6534
2016,電影,2144,2168
2016,綜藝,965,969
2016,競賽,502,504
2016,徵選,85,86
2016,其他,751,757
2016,演唱會,130,130
2016,研習課程,1921,1953
2017,音樂,2868,2933
2017,戲劇,1098,1145
2017,舞蹈,384,398
2017,親子,365,385
2017,獨立音樂,731,760
2017,展覽,2566,2663
2017,講座,2375,2407
2017,電影,1544,1564
2017,綜藝,167,167
2017,競賽,106,107
2017,徵選,16,17
2017,其他,738,756
2017,演唱會,66,68
2017,研習課程,944,994
2018,音樂,4199,4431
2018,戲劇,2009,2185
2018,舞蹈,605,641
2018,親子,334,355
2018,獨立音樂,1015,1047
2018,展覽,8227,8823
2018,講座,7784,8166
2018,電影,4250,4510
2018,綜藝,541,560
2018,競賽,503,507
2018,徵選,16,16
2018,其他,1595,1635
2018,演唱會,60,64
2018,研習課程,3447,4244
2019,音樂,3930,4184
2019,戲劇,1866,2040
2019,舞蹈,649,686
2019,親子,330,336
2019,獨立音樂,263,268
2019,展覽,8841,9289
2019,講座,7932,8486
2019,電影,4555,4989
2019,綜藝,469,492
2019,競賽,418,426
2019,徵選,21,21
2019,其他,1516,1562
2019,演唱會,46,46
2019,研習課程,3532,4340
2020,音樂,3021,3237
2020,戲劇,1431,1502
2020,舞蹈,462,479
2020,親子,185,187
2020,獨立音樂,80,82
2020,展覽,8643,9015
2020,講座,5521,5878
2020,電影,2487,2624
2020,綜藝,391,397
2020,競賽,367,374
2020,徵選,36,36
2020,其他,1177,1217
2020,演唱會,138,138
2020,研習課程,3234,3727
